Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Attention,Meditation,EEGValue,BlinkStrength
689031,40078,18206,3165,6799,5306,2704,4579,43,53,99,0
603103,17944,7452,13693,11190,2424,1257,2277,26,35,86,0
648134,39166,10824,6831,5361,22271,2430,1362,56,48,130,0
1330229,220574,13716,34469,23767,17507,4698,4588,50,54,569,0
1042651,63058,14747,17744,5209,17313,5121,2165,61,54,-24,0
1201805,83192,11956,13216,14812,19114,12149,4257,70,43,-228,0
2909632,280285,24421,60433,167158,35710,18121,24051,57,40,-107,0
251988,215926,59794,32108,20298,16536,12608,8053,27,41,51,0
840288,30142,32032,62926,62067,54074,14670,18556,43,53,297,0
182082,158708,60998,11145,17990,7054,5670,5212,43,64,77,0
2065399,44703,15764,15811,5213,8610,8562,3275,60,77,-106,0
200730,293636,63535,64821,67086,44057,22475,6803,47,69,172,0
858339,319335,64047,18361,36134,55128,14240,12840,61,63,146,0
1931094,229319,57914,34821,76354,44311,10653,34172,57,54,86,0
92593,13489,2529,3042,4949,1229,2116,891,51,48,-58,0
896186,62275,19964,23910,22802,14027,5630,3959,54,50,240,0
1267302,166524,34482,47431,27215,30841,13894,6523,53,56,-28,0
2244232,533231,123340,98239,37038,138636,19459,16719,57,57,103,0
1752503,237035,35357,41770,30631,14984,33745,13069,51,64,107,0
688098,44334,80321,65857,60973,33318,16098,11574,51,84,-188,0
131656,44511,4475,6468,19470,4145,2327,983,60,64,120,0
945061,147617,11778,17749,30281,14963,23506,4408,57,54,228,0
849640,216454,20189,41455,98235,13522,27985,7532,43,41,-122,0
1420639,388749,133370,99851,56751,68468,30497,21113,48,53,327,0
218479,11713,3738,11440,13386,7623,2074,2031,60,63,-170,0
1270940,2016425,52724,308952,264921,105195,106547,32329,56,57,1331,0
1280260,360771,61952,60244,34488,67924,18755,7387,57,53,481,0
246679,60260,15173,12964,5913,7260,7813,1428,47,51,129,0
2573461,199889,63440,73639,159526,22269,49422,15730,38,54,-72,0
